pair_idx,gamma_n,gamma_n1,g,t0,far,S_on,h_thr,r,H,H_over_halfgap,n_sign_changes
180734,8436200029.520260810852,8436200029.551465034485,3.120422363281e-02,8436200029.535862922668,24.8435582450,8240.8963958057,1.5578576480e-02,0.9984915288,0.2837318558,18.1854776570,0
180886,8436200074.942916870117,8436200074.979790687561,3.687381744385e-02,8436200074.961353302002,27.1437279649,5910.8879458656,1.8394527417e-02,0.9977012792,0.2714440027,14.7228587388,0
180923,8436200085.870988845825,8436200085.915077209473,4.408836364746e-02,8436200085.893033027649,26.4642239699,4142.1482637808,2.1973648742e-02,0.9968003765,0.2749067580,12.4707172248,0
181517,8436200263.679592132568,8436200263.718753814697,3.916168212891e-02,8436200263.699172973633,39.5754109851,5255.9324687900,1.9506983183e-02,0.9962280537,0.2248030923,11.4807679409,0
181577,8436200281.513569831848,8436200281.549975395203,3.640556335449e-02,8436200281.531772613525,24.5991447048,6060.6720299066,1.8165803258e-02,0.9979685292,0.2851379312,15.6645251373,0
181827,8436200356.220545768738,8436200356.259220123291,3.867435455322e-02,8436200356.239883422852,22.7718827590,5371.4176754576,1.9296144196e-02,0.9978780212,0.2963572309,15.3257751485,0
182132,8436200447.424067497253,8436200447.453592300415,2.952480316162e-02,8436200447.438829421997,26.9898171345,9204.3117186992,1.4740741785e-02,0.9985327729,0.2722168642,18.4398766482,0
182361,8436200515.674162864685,8436200515.699509620667,2.534675598145e-02,8436200515.686836242676,22.1106194526,12474.2857298382,1.2662141254e-02,0.9991133590,0.3007561681,23.7313341627,0
182827,8436200655.124857902527,8436200655.164317131042,3.945922851562e-02,8436200655.144587516785,18.9840678206,5156.9687733772,1.9693265999e-02,0.9981576802,0.3245789563,16.4513584549,0
183060,8436200724.829363822937,8436200724.865228652954,3.586483001709e-02,8436200724.847295761108,20.6979675853,6240.1544492814,1.7902650294e-02,0.9983401725,0.3108501968,17.3345417563,0
183449,8436200841.054366111755,8436200841.087958335876,3.359222412109e-02,8436200841.071162223816,22.7457026881,7112.1944743507,1.6769232501e-02,0.9983996558,0.2965277340,17.6545460580,0
183476,8436200849.035894393921,8436200849.067188262939,3.129386901855e-02,8436200849.051541328430,21.6757033435,8190.7240442475,1.5626216988e-02,0.9986759374,0.3037584713,19.4132896225,0
183571,8436200877.402324676514,8436200877.422219276428,1.989459991455e-02,8436200877.412271499634,18.4900579348,20230.9683922427,9.9427532595e-03,0.9995429214,0.3288863597,33.0628774776,0
183824,8436200953.296378135681,8436200953.336514472961,4.013633728027e-02,8436200953.316446304321,21.5041452545,4987.5932977348,2.0024859678e-02,0.9978419076,0.3049677428,15.1965905945,0
184269,8436201086.190735816956,8436201086.210707664490,1.997184753418e-02,8436201086.200721740723,25.7554046071,20082.1794439663,9.9795182367e-03,0.9993585440,0.2786639632,27.9056769997,0
184606,8436201186.866736412048,8436201186.911275863647,4.453945159912e-02,8436201186.889005661011,26.4381973876,4059.1785061967,2.2197083855e-02,0.9967380854,0.2750420381,12.3504905511,0
184696,8436201213.770690917969,8436201213.813281059265,4.259014129639e-02,8436201213.791986465454,22.3401492004,4432.6776512703,2.1241340598e-02,0.9974768785,0.2992071471,14.0505355456,0
185058,8436201321.954303741455,8436201321.980950355530,2.664661407471e-02,8436201321.967626571655,46.0678949462,11313.0063729135,1.3296152327e-02,0.9979618641,0.2083607029,15.6388126730,0
185362,8436201412.883490562439,8436201412.928051948547,4.456138610840e-02,8436201412.905771255493,31.0049863626,4059.7761902139,2.2195449858e-02,0.9961741228,0.2539798284,11.3990991135,0
185782,8436201538.451565742493,8436201538.468195915222,1.663017272949e-02,8436201538.459880828857,23.8881860592,28950.4266910381,8.3116550971e-03,0.9995873443,0.2893499498,34.7981893502,0
185878,8436201567.229447364807,8436201567.266929626465,3.748226165771e-02,8436201567.248188018799,20.0536222847,5714.3282766988,1.8708217261e-02,0.9982437790,0.3158046952,16.8508879242,0
185943,8436201586.555953025818,8436201586.581972122192,2.601909637451e-02,8436201586.568962097168,18.0379625593,11834.9925767108,1.2999630343e-02,0.9992376488,0.3329823832,25.5952303945,0
186110,8436201636.477116584778,8436201636.510561943054,3.344535827637e-02,8436201636.493839263916,28.9942875829,7180.8423875523,1.6688884176e-02,0.9979790940,0.2626387343,15.7055416838,0
186247,8436201677.499932289124,8436201677.531977653503,3.204536437988e-02,8436201677.515954971313,21.1135400784,7811.5099772996,1.6001013880e-02,0.9986476477,0.3077758004,19.2087564808,0
186282,8436201687.968186378479,8436201688.005308151245,3.712177276611e-02,8436201687.986747741699,18.2663902887,5823.6720377832,1.8531754706e-02,0.9984304803,0.3308938013,17.8274784095,0
